step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
224,1091808,896,0.015991065843741183,0.0,0.9242424242424242,,,
225,1099652,900,0.016319684229470284,0.0,0.859375,0.021906422005424187,0.0,0.8505747126436781
226,1102728,904,0.029017228059804213,0.0,0.8571428571428571,,,
227,1110220,908,0.020813741893191177,0.25,0.9342105263157895,,,
228,1118096,912,0.026716952580825227,0.25,0.8761904761904762,,,
229,1124724,916,0.017209187143829793,0.25,0.8780487804878049,,,
230,1128760,920,0.025401152594158212,0.25,0.9,,,
231,1132156,924,0.04046306797395373,0.0,0.7777777777777778,,,
232,1136544,928,0.026550482697966695,0.0,0.7674418604651163,,,
233,1142340,932,0.01890081023437765,0.0,0.8979591836734694,0.031658379646121074,0.0,0.92
234,1146792,936,0.029192624667591857,0.0,0.8607594936708861,,,
235,1154508,940,0.019210115809263194,0.0,0.7948717948717948,,,
236,1158640,944,0.026283925235667523,0.0,0.717948717948718,,,
237,1164660,948,0.014924808740158727,0.0,0.8596491228070176,,,
238,1169656,952,0.022837659805606685,0.0,0.9052631578947369,,,
239,1176188,956,0.01277893999950402,0.25,0.9746835443037974,,,
240,1179424,960,0.026523369657469733,0.0,0.9069767441860465,,,
241,1184452,964,0.020741046377484015,0.0,0.9206349206349206,0.026855402702947662,0.0,0.8761904761904762
242,1192296,968,0.033118378479480584,0.0,0.7037037037037037,,,
243,1194476,972,0.029022584492639582,0.25,0.8913043478260869,,,
244,1197360,976,0.024655666285017683,0.0,0.8571428571428571,,,
245,1204596,980,0.015143339477459217,0.0,0.8769230769230769,,,
246,1210584,984,0.01857328263746364,0.0,0.9113924050632911,,,
247,1215036,988,0.01967956799034336,0.25,0.7058823529411765,,,
248,1218464,992,0.020813882515091496,0.25,0.946236559139785,,,
249,1220484,996,0.02681133423651965,0.25,0.9178082191780822,0.01911188267856719,0.0,0.8333333333333334
