step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
188,928592,752,0.020476976430524804,0.25,0.8235294117647058,,,
189,933364,756,0.017488842226603348,0.0,0.6111111111111112,,,
190,941240,760,0.01386358137421252,0.0,0.8591549295774648,,,
191,943996,764,0.025850021199395213,0.25,0.7916666666666666,,,
192,945472,768,0.04151465824950475,0.0,0.9069767441860465,,,
193,951748,772,0.01932435770478632,0.0,0.8736842105263158,0.015505993873399238,0.0,0.9166666666666666
194,956360,776,0.032564347490073746,0.0,0.7368421052631579,,,
195,958636,780,0.029503213908386797,0.5,0.9342105263157895,,,
196,966320,784,0.017912828858286742,0.25,0.8275862068965517,,,
197,969620,788,0.04608497097828225,0.0,0.6,,,
198,972536,792,0.018416003560156716,0.25,0.9047619047619048,,,
199,976956,796,0.024401918239373186,0.25,0.9591194968553459,,,
200,984032,800,0.028128056383747952,0.0,0.8969072164948454,,,
201,991844,804,0.019420633308990035,0.0,0.9069767441860465,0.032812590002583575,0.0,0.8507462686567164
202,994056,808,0.027804623266781715,0.25,0.8947368421052632,,,
203,996300,812,0.03173332254800179,0.0,0.8461538461538461,,,
204,1001488,816,0.02684525513820376,0.0,0.891566265060241,,,
205,1005172,820,0.021374308928740825,0.0,0.9180327868852459,,,
206,1009624,824,0.02929823104664624,0.0,0.9402985074626866,,,
207,1014236,828,0.021581440684395017,0.0,0.930635838150289,,,
208,1016352,832,0.038059425179567376,0.0,0.8861788617886179,,,
209,1019972,836,0.0302882720475894,0.0,0.8873239436619719,0.024195486643907017,0.0,0.8879310344827587
210,1023848,840,0.026264131986403958,0.0,0.8448275862068966,,,
211,1026124,844,0.03666170833722265,0.0,0.7708333333333334,,,
212,1033136,848,0.014879110051306333,0.0,0.7346938775510204,,,
213,1038740,852,0.020076776421598153,0.25,0.9206349206349206,,,
214,1043128,856,0.02356196382777536,0.0,0.7692307692307693,,,
215,1047740,860,0.02528966302464174,0.0,0.9337748344370861,,,
216,1052512,864,0.02449854390349679,0.0,0.8857142857142857,,,
217,1055684,868,0.030478742922922707,0.0,0.8205128205128205,0.0424021108806563,0.0,0.8828125
218,1063240,872,0.01730482979448155,0.0,0.8448275862068966,,,
219,1064428,876,0.034922636661991614,0.25,0.875,,,
220,1069072,880,0.021743542919968276,0.0,0.8991596638655462,,,
221,1073076,884,0.02664660585478671,0.0,0.9290780141843972,,,
222,1076856,888,0.027808791018805262,0.0,0.8839285714285714,,,
223,1080092,892,0.028368628321711067,0.0,0.7142857142857143,,,
224,1086144,896,0.021109654695003446,0.0,0.7058823529411765,,,
225,1090852,900,0.02564378114884316,0.25,0.74,0.027279028379380236,0.0,0.8524590163934426
226,1094088,904,0.022973428439760243,0.25,0.8775510204081632,,,
227,1098668,908,0.033812339567810296,0.0,0.8682170542635659,,,
228,1104176,912,0.02403142298522308,0.0,0.9076923076923077,,,
229,1109364,916,0.025007922807353207,0.0,0.8904109589041096,,,
230,1115352,920,0.018572788773373497,0.25,0.5789473684210527,,,
231,1121308,924,0.018637133846378075,0.25,0.8771929824561403,,,
232,1126368,928,0.025052227035972676,0.0,0.6764705882352942,,,
233,1131044,932,0.027572294238990054,0.0,0.8676470588235294,0.01802196638557747,0.0,0.9156626506024096
234,1135688,936,0.024889007517865217,0.0,0.9204545454545454,,,
235,1139084,940,0.0241764636353887,0.25,0.9245283018867925,,,
236,1146960,944,0.02897779600603754,0.0,0.5625,,,
237,1154804,948,0.018683528639749,0.0,0.9213483146067416,,,
238,1161656,952,0.018978484406466437,0.0,0.5384615384615384,,,
239,1165724,956,0.02756615559903001,0.0,0.819672131147541,,,
240,1167776,960,0.06027899172794422,0.25,0.8181818181818182,,,
241,1174020,964,0.02240741975281496,0.25,0.7755102040816326,0.023991338138862825,0.0,0.9607843137254902
242,1179176,968,0.022234674158097597,0.0,0.9,,,
243,1181484,972,0.028230088450704054,0.0,0.88,,,
244,1185968,976,0.01908085492398324,0.0,0.9539473684210527,,,
245,1191764,980,0.02093713418910586,0.25,0.9305555555555556,,,
246,1194872,984,0.030711523878364788,0.0,0.7959183673469388,,,
247,1199324,988,0.020755008747258358,0.25,0.8974358974358975,,,
248,1201408,992,0.03265832798623829,0.25,0.9354838709677419,,,
249,1203716,996,0.02904978984959239,0.0,0.8372093023255814,0.011275828733501471,0.25,0.8518518518518519
250,1206152,1000,0.023660726155823552,0.5,0.8095238095238095,,,
251,1213612,1004,0.01804123974194696,0.0,0.7777777777777778,,,
252,1217104,1008,0.032164289786137154,0.0,0.9035087719298246,,,
253,1224820,1012,0.017203512397206428,0.0,0.7307692307692307,,,
